62;Dylan Cozens;BUF;BUF;C;81;31;37;68;62;37;99;7100000;91;0;Couv
9999;Darcy Kuemper;WAS;WSH;G;56;22;5;0;66;25;98;5250000;92;7;no
68;Sam Reinhart;FLA;FLA;C;82;31;36;67;62;36;98;6500000;93;0;no
168;Darnell Nurse;EDM;EDM;D;82;12;31;43;36;62;98;9250000;94;0;no
9999;Stuart Skinner;EDM;EDM;G;48;29;1;0;87;5;97;2600000;95;5;no
9999;Jordan Binnington;STL;STL;G;60;27;2;0;81;10;97;6000000;96;6;no
9999;Jeremy Swayman;BOS;BOS;G;33;24;4;0;72;20;96;3475000;97;4;no
44;Johnny Gaudreau;CLB;CBJ;L;80;21;53;74;42;53;95;9750000;98;0;no
56;Kevin Fiala;LAK;LAK;L;69;23;49;72;46;49;95;7875000;99;0;no
166;K'Andre Miller;NYR;NYR;D;79;9;34;43;27;68;95;3872000;100;0;no
175;Tony DeAngelo;CAR;PHI;D;70;11;31;42;33;62;95;1675000;101;0;no
183;Shayne Gostisbehere;DET;ARI,CAR;D;75;13;28;41;39;56;95;4125000;102;0;Couv
189;Gustav Forsling;FLA;FLA;D;82;13;28;41;39;56;95;2666667;103;0;Mark
67;Logan Couture;SJS;SJS;C;82;27;40;67;54;40;94;8000000;104;0;no
83;Brandon Hagel;TBL;TBL;L;81;30;34;64;60;34;94;1500000;105;0;Alain
88;Matt Boldy;MIN;MIN;L;81;31;32;63;62;32;94;7000000;106;0;Mark
180;Kris Letang;PIT;PIT;D;64;12;29;41;36;58;94;6100000;107;0;Couv
213;Brady Skjei;CAR;CAR;D;81;18;20;38;54;40;94;5250000;108;0;no
63;Pavel Buchnevich;STL;STL;L;63;26;41;67;52;41;93;5800000;109;0;Math
71;Jack Eichel;VGK;VGK;C;67;27;39;66;54;39;93;10000000;110;0;no
73;Alex Debrincat;DET;OTT;R;82;27;39;66;54;39;93;7875000;111;0;no
182;Thomas Chabot;OTT;OTT;D;68;11;30;41;33;60;93;8000000;112;0;no
74;Nick Suzuki;MTL;MTL;C;82;26;40;66;52;40;92;7875000;113;0;no
91;Travis Konecny;PHI;PHI;R;60;31;30;61;62;30;92;5500000;114;0;no
84;Alex Killorn;ANA;TBL;C;82;27;37;64;54;37;91;6250000;115;0;no
174;Erik Gustafsson;NYR;WSH,TOR;D;70;7;35;42;21;70;91;825000;116;0;no
86;Pierre-Luc Dubois;LAK;WPG;L;73;27;36;63;54;36;90;8500000;117;0;no
120;Chris Kreider;NYR;NYR;L;79;36;18;54;72;18;90;6500000;118;0;no
178;Shea Theodore;VGK;VGK;D;55;8;33;41;24;66;90;5200000;119;0;Alain
211;Aaron Ekblad;FLA;FLA;D;71;14;24;38;42;48;90;7500000;120;0;Alain
9999;Tristan Jarry;PIT;PIT;G;47;24;2;0;72;10;89;5375000;121;7;Mark
66;Mats Zuccarello;MIN;MIN;R;78;22;45;67;44;45;89;6000000;122;0;no
177;Moritz Seider;DET;DET;D;82;5;37;42;15;74;89;863333;123;0;Alain
9999;Filip Gustavsson;MIN;MIN;G;37;22;3;0;66;15;88;3750000;124;7;no
64;Brad Marchand;BOS;BOS;L;73;21;46;67;42;46;88;6125000;125;0;no
77;Dylan Strome;WAS;WSH;C;81;23;42;65;46;42;88;5000000;126;0;no
78;Trevor Zegras;ANA;ANA;C;81;23;42;65;46;42;88;0;127;0;Mark
95;Rickard Rakell;PIT;PIT;R;82;28;32;60;56;32;88;5000000;128;0;no
198;Evan Bouchard;EDM;EDM;D;82;8;32;40;24;64;88;3900000;129;0;Couv
201;Filip Hronek;VAN;DET,VAN;D;64;9;30;39;27;60;87;4400000;130;0;Couv
9999;Marc-Andre Fleury;MIN;MIN;G;45;24;2;0;72;10;86;3500000;131;4;no
9999;Jacob Markstrom;CGY;CGY;G;58;23;1;0;69;5;86;6000000;132;12;no
9999;Carter Hart;PHI;PHI;G;54;22;2;0;66;10;86;3979000;133;10;no
79;Brayden Schenn;STL;STL;C;82;21;44;65;42;44;86;6500000;134;0;no
81;Elias Lindholm;CGY;CGY;C;80;22;42;64;44;42;86;4850000;135;0;Couv
85;Vincent Trocheck;NYR;NYR;C;82;22;42;64;44;42;86;5625000;136;0;no
181;Morgan Rielly;TOR;TOR;D;65;4;37;41;12;74;86;7500000;137;0;Mark
222;Seth Jones;CHI;CHI;D;72;12;25;37;36;50;86;9500000;138;0;no
87;Tomas Hertl;SJS;SJS;C;79;22;41;63;44;41;85;8137500;139;0;no
97;Viktor Arvidsson;LAK;LAK;R;77;26;33;59;52;33;85;4250000;140;0;no
102;Jonathan Marchessault;VGK;VGK;R;76;28;29;57;56;29;85;5000000;141;0;no
212;Sean Durzi;ARI;LAK;D;72;9;29;38;27;58;85;1700000;142;0;Math
90;Drake Batherson;OTT;OTT;R;82;22;40;62;44;40;84;4975000;143;0;Ben
92;Troy Terry;ANA;ANA;R;70;23;38;61;46;38;84;7000000;144;0;Ben
93;Joel Eriksson Ek;MIN;MIN;C;78;23;38;61;46;38;84;5250000;145;0;no
75;Robert Thomas;STL;STL;C;73;18;47;65;36;47;83;8125000;146;0;Math
89;Jordan Eberle;SEA;SEA;R;82;20;43;63;40;43;83;5500000;147;0;no
112;Dawson Mercer;NJD;NJD;C;82;27;29;56;54;29;83;894167;148;0;Alain
214;Noah Hanifin;CGY;CGY;D;81;7;31;38;21;62;83;4950000;149;0;no
107;Reilly Smith;PIT;VGK;R;78;26;30;56;52;30;82;5000000;150;0;no
76;Chandler Stephenson;VGK;VGK;C;81;16;49;65;32;49;81;2750000;151;0;Alain
103;Matty Beniers;SEA;SEA;C;80;24;33;57;48;33;81;897500;152;0;Mark
9999;Sergei Bobrovsky;FLA;FLA;G;49;24;1;0;72;5;80;10000000;153;3;no
9999;Pheonix Copley;LAK;LAK;G;35;24;1;0;72;5;80;1500000;154;3;no
9999;Antti Raanta;CAR;CAR;G;26;19;4;0;57;20;80;1500000;155;3;no
99;Nick Schmaltz;ARI;ARI;C;63;22;36;58;44;36;80;5850000;156;0;no
109;David Perron;DET;DET;L;82;24;32;56;48;32;80;4750000;157;0;no
111;Nazem Kadri;CGY;CGY;C;82;24;32;56;48;32;80;7000000;158;0;no
224;Samuel Girard;COL;COL;D;76;6;31;37;18;62;80;5000000;159;0;no
230;Dmitry Orlov;CAR;WSH,BOS;D;66;7;29;36;21;58;79;7750000;160;0;no
245;Jared Spurgeon;MIN;MIN;D;79;11;23;34;33;46;79;7575000;161;0;no
104;Pavel Zacha;BOS;BOS;C;82;21;36;57;42;36;78;4750000;162;0;no
106;Matt Duchene;DAL;NSH;C;71;22;34;56;44;34;78;3000000;163;0;no
113;Andrei Svechnikov;CAR;CAR;R;64;23;32;55;46;32;78;7750000;164;0;Couv
135;Anders Lee;NYI;NYI;L;82;28;22;50;56;22;78;7000000;165;0;no
131;Jake Debrusk;BOS;BOS;L;64;27;23;50;54;23;77;4000000;166;0;no
235;Rasmus Sandin;WAS;TOR,WSH;D;71;7;28;35;21;56;77;1400000;167;0;no
9999;Logan Thompson;VGK;VGK;G;36;21;2;0;63;10;76;766667;168;3;Alain
108;Max Domi;TOR;CHI,DAL;C;80;20;36;56;40;36;76;3000000;169;0;no
139;Owen Tippett;PHI;PHI;R;77;27;22;49;54;22;76;1500000;170;0;no
240;Mike Matheson;MTL;MTL;D;48;8;26;34;24;52;76;4875000;171;0;no
254;John Klingberg;TOR;ANA,MIN;D;67;10;23;33;30;46;76;4150000;172;0;no
260;Neal Pionk;WPG;WPG;D;82;10;23;33;30;46;76;5875000;173;0;no
9999;Karel Vejmelka;ARI;ARI;G;49;18;3;0;54;15;75;2725000;174;6;no
